"ocl";"chl";"chl2";"chl3";"chl4";"chl1a";"chl2a";"chl3a";"el";"bins"
"Lepton transversarium";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Lima lima";-3.88156379794344;-0.693147180559945;0.22314355131421;NA;NA;-1;0;NA;0;13
"Limea strigillata";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Limopsis anomala";-3.51154543883102;-0.693147180559945;0;0;0;-1;0;0;0;13
"Lindapecten buchivacoanus";-3.87120101090789;-0.693147180559945;-0.693147180559945;0;NA;-1;-1;0;1;13
"Linga columbella";-3.63758615972639;-0.693147180559945;-0.287682072451781;NA;NA;-1;0;NA;0;13
"Lithophaga lithophaga";-3.17341345079144;0.693147180559945;0.133531392624522;NA;NA;1;0;NA;0;13
"Lithophyllum microsporum";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Lithophyllum prelichenoides";-3.15700042115011;0.693147180559945;0.287682072451781;0.287682072451781;0.287682072451781;1;0;0;0;13
"Lithophyllum viennoti";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Lithoporella melobesioides";-2.91777073208428;0;0.693147180559945;0.693147180559945;1.38629436111989;0;1;1;0;13
"Lucinoma acutilineata";-4.91998092582813;-0.693147180559945;-1.28093384546206;-0.364643113587909;-0.8754687373539;-1;-2;-1;0;13
"Lucinoma annulatum";-4.00733318523247;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Lucinoma borealis";-4.29387824789717;-1.09861228866811;-1.32175583998232;-1.32175583998232;-1.32175583998232;-1;-2;-2;0;13
"Lucinoma contracta";-4.70953020131233;0;-0.693147180559945;0;NA;0;-1;0;0;13
"Lutraria oblonga";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;13
"Lyropecten crassicardo";-4.34380542185369;0;0;NA;NA;0;0;NA;0;13
"Macoma calcarea";-2.33537491581704;0.287682072451781;0.693147180559945;0.287682072451781;NA;1;2;1;0;13
